date	from	text
2023-03-12T14:39:14	Шмелёв Данил	Одежда хорошая, но из минусов выцветает быстро
2023-03-12T16:30:41	Dmitry Децина/M	Спасибо
2023-03-12T16:30:47	Dmitry Децина/M	Поищу
2023-03-16T05:49:19	Шмелёв Данил	Что почитать?
2023-03-16T08:21:25	Alexander	Лёх, сдал вам 15ого квартиру)?
2023-03-16T08:23:19	Леха Писаренко	Конечно
2023-03-16T08:23:26	Леха Писаренко	Нет)
2023-03-16T08:24:14	Alexander	Конкретный пиздабол...заебал меня он.
2023-03-16T09:07:29	Леха Писаренко	Бесит, ага. Хочется уже закончить это дрочево и переехать
2023-03-16T10:34:59	Миша Трофимюк	Продам штабелер, ДОРОГО!
2023-03-16T11:02:13	Леха Писаренко	
2023-03-16T12:24:01	Сорокин Андрей	)))
2023-03-16T12:32:54	Dmitry Децина/M	Я почему-то про Андрюхину Пысину вспомнил. Хотя самой красивой она не была ))
2023-03-16T12:52:40	Сорокин Андрей	Да, я тоже, но потом пытался вспомнить самую красивую
2023-03-16T12:54:13	Dmitry Децина/M	У нас хз кто. Людка Мочалова может?
2023-03-16T12:54:27	Леха Писаренко	Кто это?
2023-03-16T12:54:44	Dmitry Децина/M	Бля, с В или Г класса
2023-03-16T12:54:58	Dmitry Децина/M	Такая прям нормас была
2023-03-16T12:55:14	Dmitry Децина/M	Михан Троф должен всех девок помнить
2023-03-16T12:55:27	Dmitry Децина/M	))
2023-03-16T12:55:35	Леха Писаренко	
2023-03-16T12:55:38	Леха Писаренко	Больше всего
2023-03-16T12:56:17	Dmitry Децина/M	
2023-03-16T13:27:55	Alexander	Может в баню ко мне вечером?
2023-03-16T13:28:42	Сорокин Андрей	Я бы сгонял!
2023-03-16T13:54:15	Бобылев Паша	Видел ее не так давно, отлично выглядит
2023-03-16T14:01:26	Dmitry Децина/M	Ну вот значит не на всех работает принцип Нюши )
2023-03-16T16:24:42	Alexander	
2023-03-16T16:27:06	Миша Трофимюк	Молодчики!
2023-03-16T16:27:13	Миша Трофимюк	Даже не вспотели смотрю
2023-03-16T16:55:12	Шмелёв Данил	Какой класс?
2023-03-16T17:00:27	Леха Писаренко	Больше всего)
2023-03-16T17:03:45	Миша Трофимюк	Гурман)
2023-03-16T23:00:38	Леха Писаренко	Вы че хату снимаете?
2023-03-16T23:10:34	Миша Трофимюк	Нет
2023-03-17T03:09:18	Dmitry Децина/M	А где это? Что за гараж?
2023-03-17T03:09:30	Сорокин Андрей	в районе нового поселка
2023-03-18T16:38:23	Alexander	Седня можт в баню?
2023-03-18T18:32:02	Миша Трофимюк	Да к Андрюха едем сейчас прям
2023-03-18T18:45:53	Alexander	Присоединяйтесь 😀
2023-03-18T22:01:36	Alexander	
2023-03-20T09:18:27	Alexander	
2023-03-20T14:27:36	Dmitry Децина/M	
2023-03-20T20:20:25	Alexander	У меня у одного ощущение, что Митяй уже накопил?
2023-03-21T20:44:35	Леха Писаренко	Сань, ты выгнал мозгоеба то?)
2023-03-21T21:00:02	Dmitry Децина/M	У меня ипотека. Все бабки там.
2023-03-21T21:00:41	Dmitry Децина/M	Тут уж либо вечная жизнь, либо квартира на Рассветной.
2023-03-21T21:12:27	Alexander	"Нет, делает) 
Хотел других нанять, но они тоже по конец апреля сроки выкатили."
2023-03-21T21:12:57	Alexander	Потолки начали тянуть, компрессор привез. Красить обещал на прошлой неделе, но не успел)
2023-03-21T21:12:58	Леха Писаренко	Ты пригрозил ему?)
2023-03-21T21:13:21	Леха Писаренко	Я хочу завтра его выгнать, че-то заехал сейчас, а там с пятницы нихуя не поменялось
2023-03-21T21:13:29	Леха Писаренко	Хотя он говорил будет все выходные работать
2023-03-21T21:13:42	Alexander	Он пиздабол ..
2023-03-21T21:14:18	Alexander	Крайний платеж буду держать, с него неустойку ему выкачу.
2023-03-21T21:14:27	Леха Писаренко	Ага
2023-03-21T21:23:25	Леха Писаренко	А Александр че, до конца апреля типа сделает?)
2023-03-21T21:28:24	Alexander	Мне кажется у нас должен успеть)
2023-03-22T00:20:55	Сорокин Андрей	
2023-03-22T07:47:14	Шмелёв Данил	
2023-03-22T14:36:06	Dmitry Децина/M	Beats какое значение тут? Не прямое же?
2023-03-25T16:06:34	Alexander	В баню сегодня можт?
2023-03-25T16:06:44	Alexander	Ко мне или к вам?
2023-03-25T16:07:58	Миша Трофимюк	Мы на обьекте работаем
2023-03-25T16:47:24	Леха Писаренко	Сань, у тебя точечные светильники есть?
2023-03-25T16:49:58	Alexander	типо спотов есть несколько штук
2023-03-25T16:50:10	Леха Писаренко	Какие ты туда брал?
2023-03-25T16:50:13	Леха Писаренко	Gx53?
2023-03-25T16:50:16	Alexander	остальные gx53
2023-03-25T21:09:57	Сорокин Андрей	
2023-03-25T21:09:57	Сорокин Андрей	
2023-03-25T21:09:57	Сорокин Андрей	
2023-03-25T21:09:57	Сорокин Андрей	
2023-03-25T21:09:57	Сорокин Андрей	
2023-03-25T21:10:47	Леха Писаренко	Это в гараже у Михана теперь так?
2023-03-25T21:38:44	Alexander	Посмотрите какой он довольный)
2023-03-25T23:12:02	Сорокин Андрей	Не это в офисе
2023-03-25T23:16:10	Леха Писаренко	Каком офисе?
2023-03-26T00:12:18	Сорокин Андрей	В нашем офисе
2023-03-26T00:12:21	Сорокин Андрей	)))
2023-03-26T00:12:31	Сорокин Андрей	
2023-03-26T00:12:49	Сорокин Андрей	
2023-03-26T00:13:26	Сорокин Андрей	Осталась одна процедура
2023-03-26T00:51:41	Миша Трофимюк	Батарейка села)
2023-03-26T00:55:17	Сорокин Андрей	
2023-03-26T00:55:17	Сорокин Андрей	
2023-03-26T01:33:35	Dmitry Децина/M	Так вы расскажите, что за офис? Что делаете? Нихрена не понятно
2023-03-26T01:34:08	Dmitry Децина/M	
2023-03-26T01:35:47	Сорокин Андрей	Купили станки, сейчас все устанавливаем смотрим как работает, потом будем делать продукцию из дерева
2023-03-26T01:43:35	Dmitry Децина/M	Продукцию?
2023-03-26T01:44:00	Сорокин Андрей	)))
2023-03-26T01:44:09	Dmitry Децина/M	Бро, тут же не чат деревобработчиков
2023-03-26T01:44:37	Сорокин Андрей	Так там же все разное может быть))) поэтому так выразился
2023-03-26T01:44:47	Dmitry Децина/M	Ну блин
2023-03-26T01:45:07	Dmitry Децина/M	Ничего не понятно
2023-03-26T01:46:24	Сорокин Андрей	Обрабатываем дерево до более высокого уровня передела. Это не комод или что-то ещё, это обработаное дерево
2023-03-26T01:48:14	Dmitry Децина/M	Доска в итоге?
2023-03-26T01:48:19	Dmitry Децина/M	Брус?
2023-03-26T01:49:14	Сорокин Андрей	Был бус, его пилим, потом ещё вакумная сушка приедет, там вообще полет для творчества. Как сушить так и термировать
2023-03-26T01:50:26	Dmitry Децина/M	А сушить сколько кубов можно?
2023-03-26T01:50:32	Dmitry Децина/M	Если доска
2023-03-26T01:50:48	Dmitry Децина/M	Сколько входит?
2023-03-26T01:58:53	Сорокин Андрей	3.5 Куба
2023-03-26T01:59:45	Сорокин Андрей	Суши меньше суток
2023-03-26T06:44:14	Шмелёв Данил	Вы кстати знаете, что продажа леса жестко регулируется? Там надо все через ЕГАИСЛЕС проводить
2023-03-26T06:44:47	Шмелёв Данил	Смотрите, чтобы ваши товары не попали под это регулирование
2023-03-26T11:25:51	Миша Трофимюк	Все в курсе, все проводим
2023-03-26T12:01:41	Dmitry Децина/M	Прикольно, молодчики!
2023-03-26T12:02:19	Dmitry Децина/M	Все время читаю, что в малоэтажном строительстве жесткая нехватка нормальных пиломатериалов
2023-03-26T15:18:06	Шмелёв Данил	Красавцы!
2023-03-27T12:10:48	Alexander	Лёх, че в итоге. Выгнал или оставил работника года?
2023-03-27T12:11:18	Леха Писаренко	Да работает)
2023-03-27T12:11:38	Alexander	Какой этап?)
2023-03-27T12:12:05	Alexander	У меня потолки натянули, свет поставили. К покраске не приступал. Краскапульт стоит уже 2 недели без движения.
2023-03-27T12:12:25	Леха Писаренко	Потолочники в среду придут багеты ставить, потом он красить собрался
2023-03-27T12:12:54	Леха Писаренко	Он стал резво стены под покраску готовить
2023-03-27T12:13:22	Леха Писаренко	За пару дней сделал столько же, сколько за месяц наверное до этого)
2023-03-27T12:13:36	Леха Писаренко	И сказал что до апреля ему желательно закончить и свалить уже)
2023-03-27T12:13:42	Alexander	Бляяять... и смех и грех
2023-03-28T00:22:27	Миша Трофимюк	
2023-03-28T00:42:24	Миша Трофимюк	
2023-03-28T07:18:01	Шмелёв Данил	Где ваша база?
2023-03-28T07:51:30	Сорокин Андрей	Где новый посёлок
2023-03-28T08:11:53	Шмелёв Данил	Аренда?
2023-03-28T08:12:01	Сорокин Андрей	Ага
2023-03-28T12:17:07	Dmitry Децина/M	Меленькое что-такое пилите
2023-03-28T12:17:26	Dmitry Децина/M	Я думал, вы доску продаете
2023-03-28T12:17:39	Dmitry Децина/M	Или это для себя что-то?
2023-03-28T12:17:51	Dmitry Децина/M	На михины шезлонги?
2023-03-28T12:59:11	Миша Трофимюк	Делаем на то что заказано.
2023-03-28T19:48:31	Dmitry Децина/M	Таинства какие-то прям
2023-03-29T16:22:06	Миша Трофимюк	Это у нас на ГЭСе лужа, фура толкает тачку через мужика
2023-03-29T16:23:28	Dmitry Децина/M	Мужик крепкий
2023-03-29T16:30:44	Alexander	"Хотел сказать...это Россия детка ...

Но это уже гэс детка."
2023-03-29T16:31:12	Леха Писаренко	Страна чудес
2023-03-29T17:40:38	Шмелёв Данил	Где на ГЭС? Может мне не ехать там сегодня?
2023-03-29T17:43:00	Миша Трофимюк	Ты там не ездишь, это Варшавская
2023-03-31T08:19:06	Alexander	ПЦ ДУ. Какие новости у кого?
2023-03-31T08:41:37	Alexander	завтра в баню с утра поехали в академ?
2023-03-31T08:48:29	Миша Трофимюк	Привет, я Вику к логопеду в 10 везу, потом вроде как дела. Мы в  воскресенье на дачу собирались в баньку
2023-04-01T11:48:55	Бобылев Паша	
2023-04-01T11:48:55	Бобылев Паша	
2023-04-01T14:41:31	Dmitry Децина/M	Я в этом чуме/аиле/юрте так и не побывал
2023-04-01T14:41:54	Леха Писаренко	А где это?
2023-04-01T14:42:45	Alexander	Летом прилетишь? Сходим
2023-04-01T14:53:00	Dmitry Децина/M	Хотелось бы. Работаем над этим )
2023-04-01T22:48:43	Миша Трофимюк	
2023-04-02T14:00:51	Dmitry Децина/M	Всё очень интересно
2023-04-02T14:02:35	Dmitry Децина/M	А вы можете «готовое изделие» называть не готовым изделием? Че вы делали-то?
2023-04-02T14:09:50	Сорокин Андрей	Вот же решётки на вилео
2023-04-02T14:11:34	Dmitry Децина/M	Не понятно, что решетки
2023-04-02T14:11:46	Dmitry Децина/M	Думал, стулья какие-то сложены
2023-04-02T14:12:32	Dmitry Децина/M	А что за решетки?
2023-04-02T14:13:11	Миша Трофимюк	Потом вот так их на заводе соберут
2023-04-02T14:13:22	Миша Трофимюк	М через них зерно будет идти
2023-04-02T14:13:23	Миша Трофимюк	И
2023-04-02T14:14:43	Dmitry Децина/M	О, интересно
2023-04-02T16:47:40	Шмелёв Данил	Баня не намечается сегодня?
2023-04-02T16:47:57	Сорокин Андрей	Приезжай ко мне
2023-04-02T16:48:02	Сорокин Андрей	Мы с миханом тут
2023-04-03T12:32:56	Dmitry Децина/M	Я вчера, кстати, тоже в баню ходил.
2023-04-03T12:33:20	Сорокин Андрей	что там за бани?
2023-04-03T17:33:20	Dmitry Децина/M	Да у нас есть парилка. Больше сауна конечно. Но мы ее умеем переводить в режим русской бани ))
2023-04-04T14:11:57	Леха Писаренко	Привет! 3000 mmr в доте это дохрена?
2023-04-04T14:12:47	Сорокин Андрей	это вроде очень хорошо, хотя сейчас хз
2023-04-04T14:12:55	Сорокин Андрей	У профиков 8-10к вроде
2023-04-04T14:13:07	Леха Писаренко	Ну тогда не так уж много
2023-04-04T14:13:15	Сорокин Андрей	у боба не помню какой был, вроде пару К
2023-04-04T14:13:23	Сорокин Андрей	Просто хорошо)
2023-04-04T14:13:39	Леха Писаренко	Ну чет в районе 2к, насколько помню, ага
2023-04-04T14:16:17	Бобылев Паша	У про свыше 10к
2023-04-04T14:17:10	Сорокин Андрей	А у тебя какой был?
2023-04-04T14:17:59	Бобылев Паша	"С тех времен несколько раз эта система менялась
У меня 4 с мелочью был"
2023-04-04T14:19:14	Леха Писаренко	
2023-04-04T14:19:25	Леха Писаренко	Вакуха для тебя есть)
2023-04-04T14:20:26	Бобылев Паша	504 человека на место прямо сейчас, горячая
2023-04-04T14:28:41	Сорокин Андрей	работа мечта школьника!)
2023-04-04T14:30:53	Бобылев Паша	Больше похоже на рекламу компьютерного клуба)
2023-04-04T14:33:53	Бобылев Паша	Есть интересный ресторан в Москве, который ты отметил?
2023-04-04T14:34:11	Бобылев Паша	Полечу на неделю проветриться
2023-04-04T14:38:32	Леха Писаренко	На неделю в Москау?
2023-04-04T14:38:32	Сорокин Андрей	Когда?
2023-04-04T14:39:08	Бобылев Паша	В пятницу до следующего воскресения
2023-04-04T14:39:40	Бобылев Паша	Как раз клуб осмотрю
2023-04-04T14:40:06	Леха Писаренко	Могу посоветовать ещё в Спб сгонять, типа 3 дня Мск, потом Сапсан и 3 дня в Спб
2023-04-04T14:40:42	Сорокин Андрей	Я на следующей неделе в мск буду всю неделю
2023-04-04T14:40:50	Бобылев Паша	Я так делал на прошлых майских, но сейчас в Питере знакомых нет
2023-04-04T14:41:04	Бобылев Паша	Серьезно?)
2023-04-04T14:41:17	Сорокин Андрей	Ага
2023-04-04T14:41:31	Бобылев Паша	Работать или тусить со мной будешь?
2023-04-04T14:41:39	Сорокин Андрей	Работать
2023-04-04T14:41:45	Леха Писаренко	Кем?)
2023-04-04T14:41:49	Бобылев Паша	Как то скучно)
2023-04-04T14:41:52	Сорокин Андрей	Но вечером можно тусить
2023-04-04T14:42:10	Сорокин Андрей	Инженером
2023-04-04T14:42:13	Бобылев Паша	Я бы в тот бар сходил, помнишь?
2023-04-04T14:42:37	Сорокин Андрей	Израильский?
2023-04-04T14:42:48	Бобылев Паша	Ага, спроси у Вики название
2023-04-04T14:42:55	Сорокин Андрей	Да я помню
2023-04-04T14:43:00	Бобылев Паша	Отлично
2023-04-04T14:43:29	Бобылев Паша	Где запланировал остановиться?
2023-04-04T14:43:48	Сорокин Андрей	Метро проспект Мира
2023-04-04T14:44:27	Бобылев Паша	Там риксос или свисс?)
2023-04-04T14:44:40	Сорокин Андрей	Рэдисон блю
2023-04-04T14:45:01	Сорокин Андрей	Тут не все так жирно)))
2023-04-04T14:45:38	Бобылев Паша	Ты с понедельника по пятницу?
2023-04-04T14:45:56	Сорокин Андрей	Прилечу в воскресенье, обратно в субботу
2023-04-04T14:46:18	Бобылев Паша	Я на пару дней в отель с банным комплексом, чекну бани, сходим если что
2023-04-04T14:46:33	Сорокин Андрей	О, нормально
2023-04-04T14:47:22	Бобылев Паша	В субботу какой рейс? У меня в половину 12го обратно, утром воскресения дома
2023-04-04T14:48:17	Сорокин Андрей	Ночи? У меня с утра
2023-04-04T14:48:59	Бобылев Паша	Да, в полночь почти
2023-04-04T14:50:16	Бобылев Паша	Давай тогда в воскресение где-нибудь поужинаем
2023-04-04T14:54:17	Сорокин Андрей	Да, давай. Ты про рестики спросил, но в мск я только один норм грузинский помню
2023-04-06T09:41:17	Сорокин Андрей	
2023-04-06T09:41:30	Сорокин Андрей	Интересное чтиво)))
2023-04-06T09:41:33	Леха Писаренко	Да на любой)
2023-04-06T09:41:56	Леха Писаренко	А, всмысле на любой кончишь
2023-04-06T09:43:29	Сорокин Андрей	Но не выйдет на какой глубине
2023-04-06T09:44:09	Леха Писаренко	Что не выйдет?
2023-04-06T09:44:23	Леха Писаренко	Кончишь хоть в Марианской впадине)
2023-04-06T09:48:07	Миша Трофимюк	Андрюха ты кандидатскую уже начни писать)
2023-04-06T09:48:33	Сорокин Андрей	Сперма не выйдет наружу
2023-04-06T09:48:52	Сорокин Андрей	Там в коментпх ответ есть, от 13 метров
2023-04-06T09:49:09	Сорокин Андрей	Или метр в ртутной ванне
2023-04-06T09:49:46	Леха Писаренко	Так ты из воды на дофига процентов состоишь
2023-04-06T09:50:03	Леха Писаренко	Внутри тебя такое же давление как и снаружи
2023-04-06T11:50:00	Бобылев Паша	В Москву на конференцию по этому вопросу?
2023-04-06T12:36:30	Сорокин Андрей	Ты не так понял
2023-04-06T12:36:37	Сорокин Андрей	Давление на глубине больше
2023-04-06T12:44:17	Леха Писаренко	Ну так и внутри тебя давление растёт на глубине
2023-04-06T12:53:42	Сорокин Андрей	от сжатия, и не везде в крови не сильно растет в легких тоже
2023-04-06T12:54:09	Леха Писаренко	В лёгких как раз сильно растёт
2023-04-06T12:54:11	Сорокин Андрей	а сперма выходит под давлением, поэтому это давление может быть перебито
2023-04-06T12:55:02	Леха Писаренко	Сперма от перепада давления выходит же
2023-04-06T12:55:36	Сорокин Андрей	нет там есть сила выталкивания, или у тебя яйцо там давление создает!?
2023-04-06T12:55:51	Леха Писаренко	Ну сила есть
2023-04-06T12:56:13	Сорокин Андрей	да, но она может быть меньше чем давление снаружи
2023-04-06T12:56:19	Леха Писаренко	В яйце давление такое же как снаружи
2023-04-06T12:56:36	Леха Писаренко	Да с херов ли
2023-04-06T12:56:39	Сорокин Андрей	с чего вдруг?
2023-04-06T12:57:33	Леха Писаренко	Так тело из воды состоит практически, а она не сжимается
2023-04-06T12:58:24	Сорокин Андрей	тело не полностью из воды состоит, на самом деле меньше чем 80%, где то 40
2023-04-06T12:58:58	Сорокин Андрей	точнее 55%
2023-04-06T12:59:04	Сорокин Андрей	+-
2023-04-06T12:59:20	Леха Писаренко	Даже если и так
2023-04-06T12:59:36	Леха Писаренко	Один хер внутреннее давление растёт с погружением
2023-04-06T13:00:20	Сорокин Андрей	не сильно то и растет, у тебя давление крови в разы не поышается и тд
2023-04-06T13:03:41	Леха Писаренко	Повышается
2023-04-06T13:03:56	Леха Писаренко	Ты думаешь почему водолазам нельзя всплывать резко с глубины?
2023-04-06T13:04:52	Леха Писаренко	А если ты вдохнешь на глубине, а потом при всплытии не будешь выдыхать - то у тебя лёгкие порвёт
2023-04-06T13:17:11	Сорокин Андрей	Да но например наберёшь в рот воды, и сможешь её выплюнуть наружу на глубине или тебе ещё больше воды в рот наберётся
2023-04-06T13:17:52	Леха Писаренко	Смогу конечно
2023-04-06T13:18:21	Сорокин Андрей	А на 100 метрах сможешь?
2023-04-06T13:20:07	Леха Писаренко	Смогу
2023-04-06T13:20:21	Леха Писаренко	Как по твоему глубоководные рыбы срут?)
2023-04-06T13:20:36	Леха Писаренко	Всплывают на 13 метров?))
2023-04-06T13:21:13	Сорокин Андрей	они может не срут)))
2023-04-06T13:21:20	Леха Писаренко	А как?)
2023-04-06T13:21:24	Сорокин Андрей	или у них мышцы чтобы срать на глубине
2023-04-06T13:21:33	Леха Писаренко	На 6000 метров??
2023-04-06T13:21:53	Сорокин Андрей	тебе шланг в жопу с давлением в 4 очка подключи, вряд ли ты посрешь)))
2023-04-06T13:21:55	Леха Писаренко	Это 600 атмосфер)
2023-04-06T13:22:07	Сорокин Андрей	научный вопрос
2023-04-06T13:22:18	Сорокин Андрей	действительно надо конференцию созывать
2023-04-06T13:22:22	Леха Писаренко	Никакого вопроса, просто берут и срут
2023-04-06T13:22:30	Леха Писаренко	Потому что внутри давление равно внешнему
2023-04-06T13:22:59	Леха Писаренко	Жопной мышце надо лишь создать разницу небольшую и всё
2023-04-06T13:23:24	Сорокин Андрей	хорошо, человека может на 1000 метров нырнуть без спец средств, чтобы его не раздавило?
2023-04-06T13:25:26	Леха Писаренко	Что такое раздавило?)
2023-04-06T13:25:46	Леха Писаренко	В лепёшку или как?
2023-04-06T13:25:50	Сорокин Андрей	хз, ребра сломало, череп давануло
2023-04-06T13:26:12	Леха Писаренко	В черепе ж есть воздушные полости
2023-04-06T13:26:17	Леха Писаренко	Значит треснет
2023-04-06T13:27:03	Леха Писаренко	Лёгкие там сожмет в комок
2023-04-06T13:27:14	Леха Писаренко	Сосуды посдавливает наверное
2023-04-06T13:30:19	Леха Писаренко	Теперь если в Турцию поеду - придётся дрочить на глубине)))
2023-04-06T14:42:47	Сорокин Андрей	))) ага
2023-04-06T14:43:02	Сорокин Андрей	специально для этого погрузись на глубину 20 метров
2023-04-06T14:43:08	Сорокин Андрей	и посмотри кончишь или нет
2023-04-06T14:43:31	Леха Писаренко	20 мало, метров на 30 хотя б
2023-04-06T14:43:57	Леха Писаренко	Это вроде предел для ныряния с аквалангом для новичков
2023-04-06T14:44:15	Сорокин Андрей	вот там и вздрочни)))
2023-04-06T14:44:34	Леха Писаренко	😄
2023-04-06T14:45:00	Сорокин Андрей	Или ванну ртути набери и стоя по шею вздрочни
2023-04-06T14:45:11	Сорокин Андрей	Если всплывет то выходит)
2023-04-06T14:45:22	Леха Писаренко	Для начала можно в Нептуне вздрочнуть, там 6 метров
2023-04-06T14:45:47	Сорокин Андрей	там расчитали что 13 метров, те априори надо глубже
2023-04-06T16:09:58	Леха Писаренко	Сань, как там работник года?
2023-04-06T17:36:14	Alexander	
2023-04-06T17:37:44	Леха Писаренко	А, ну у нас его тоже не было
2023-04-06T17:37:50	Леха Писаренко	Значит срал)
2023-04-06T17:39:56	Сорокин Андрей	На глубине 6000 метров
2023-04-06T17:40:01	Сорокин Андрей	Теорию проверял
2023-04-07T13:15:25	Бобылев Паша	Я на месте, подтягивайся
2023-04-07T13:18:32	Сорокин Андрей	Ты скинь где ты остановился!
2023-04-07T13:23:26	Бобылев Паша	Пару дней в отеле, а потом знакомая пригласила погостить у нее
2023-04-07T13:24:11	Бобылев Паша	Отель Воронцовский
2023-04-07T13:26:51	Леха Писаренко	Кстати, можно же просто поссать на глубине, практически одно и то же
2023-04-07T13:28:41	Сорокин Андрей	ну да, вот будешь дайвить проверь
2023-04-07T21:39:18	Шмелёв Данил	Отель редисон на Киевском
2023-04-07T21:39:39	Сорокин Андрей	?
2023-04-07T21:39:49	Шмелёв Данил	Шук и общепит
2023-04-07T21:40:19	Шмелёв Данил	И гастрономический центр Зарядие
2023-04-07T21:40:40	Шмелёв Данил	Это у меня отметки куда сходить в мск
2023-04-07T21:40:51	Шмелёв Данил	Последние 2 места - покушать
2023-04-07T21:41:13	Шмелёв Данил	Редисон это отель со спа зоной потусить в банях
2023-04-07T22:13:53	Бобылев Паша	Спасибо)
2023-04-07T22:44:49	Dmitry Децина/M	
2023-04-09T21:24:29	Леха Писаренко	Сань, ну чо там, обосратышь начал красить тебе?
2023-04-09T21:25:39	Alexander	Пару дней назад покрасил пару стен.
2023-04-09T21:25:51	Alexander	2 дня не было уже
2023-04-09T21:26:21	Alexander	Фото от Alexander
2023-04-09T21:52:19	Леха Писаренко	Ну хоть красит уже
2023-04-10T00:32:03	Сорокин Андрей	
2023-04-10T04:28:56	Dmitry Децина/M	О, хоть кто-то начал жить по московскому времени
2023-04-10T04:29:39	Dmitry Децина/M	Теперь можно писать вам в 00 по мск: есть шанс, что  прочитаете
2023-04-10T11:32:17	Сорокин Андрей	Ага))
2023-04-11T19:15:39	Шмелёв Данил	Видели, с повестками какую-то хуйню придумали ?
2023-04-11T19:16:01	Шмелёв Данил	Я в ахуе
2023-04-11T19:16:10	Шмелёв Данил	Тотальный контроль
2023-04-11T19:20:05	Леха Писаренко	Какую
2023-04-11T19:28:20	Шмелёв Данил	
2023-04-11T19:28:58	Леха Писаренко	А повестки причём?
2023-04-11T19:35:26	Сорокин Андрей	На госуслугах типо теперь приходят
2023-04-11T19:56:59	Леха Писаренко	Не заходи на госуслуги)
2023-04-11T19:59:00	Сорокин Андрей	Так там типо не канат, отправили значит уведомлен
2023-04-11T19:59:50	Сорокин Андрей	
2023-04-11T20:00:00	Сорокин Андрей	Вот как раз статья по этому поводу
2023-04-11T20:05:37	Леха Писаренко	Ты уже удалил свой профиль?)
2023-04-11T20:06:06	Сорокин Андрей	Нет
2023-04-11T20:06:18	Сорокин Андрей	Просто сама идея тупая
2023-04-11T20:11:16	Alexander	Так раньше вышло изменение, что профиль на гу можно удалить только лично на приёме)
2023-04-11T20:11:38	Леха Писаренко	У Путина?)
2023-04-11T20:35:13	Сорокин Андрей	)))
2023-04-11T20:35:26	Сорокин Андрей	Не снова добавили
2023-04-11T21:05:15	Леха Писаренко	Ясно, че вы в Москву щеманулись)
2023-04-11T21:28:26	Сорокин Андрей	Ага, я на завтра на 18 - 00 запись оформил
2023-04-11T23:00:05	Миша Трофимюк	
2023-04-12T09:37:28	Alexander	А ты когда крайний раз дул?
2023-04-12T09:37:50	Миша Трофимюк	)))
2023-04-12T09:38:29	Миша Трофимюк	Правду сказал, году в 13-м, в гараже, химию с Бобом
2023-04-12T09:39:03	Миша Трофимюк	Он тел. его попросил, записал и пожелал счастливого пути
2023-04-12T09:39:27	Alexander	😂 ну наверно выветрилось уже
2023-04-12T09:40:06	Alexander	Тел боба?)
2023-04-12T09:41:30	Alexander	Давайте каждый по крайнему треку киньте в чат.
2023-04-12T09:41:56	Alexander	
2023-04-12T09:47:05	Леха Писаренко	Гаража
2023-04-13T16:01:56	Шмелёв Данил	
2023-04-13T16:50:20	Dmitry Децина/M	Хах
2023-04-13T16:50:55	Dmitry Децина/M	Мне недавно тоже что-то смешное попадалось, но я не стал кидать, решил, что тема потухла
2023-04-17T17:20:09	Шмелёв Данил	Привет! Сейчас евро купить наличку можно?
2023-04-17T17:20:23	Сорокин Андрей	можно, в банкоматах
2023-04-17T17:20:36	Сорокин Андрей	ой, в банках
2023-04-17T17:20:41	Шмелёв Данил	Хм
2023-04-17T17:20:54	Шмелёв Данил	Ок, спасибо
2023-04-17T17:21:25	Сорокин Андрей	только ты в отделения заранее звони, но сейчас думаю проблем нет, по такой цене тебе с радостью продадут
2023-04-18T10:59:20	Шмелёв Данил	
2023-04-18T11:04:16	Шмелёв Данил	
2023-04-18T13:17:50	Dmitry Децина/M	:)
2023-04-18T13:18:50	Dmitry Децина/M	Письки письки письки - это паблик такой или ты выбираешь для нас такое - поинтереснее?
2023-04-18T13:18:53	Dmitry Децина/M	))
2023-04-18T14:50:36	Шмелёв Данил	Выбираю про письки, Лехе про дрочку
2023-04-18T14:50:41	Dmitry Децина/M	
2023-04-18T14:50:49	Dmitry Децина/M	Зацените нэйминг
2023-04-18T14:51:04	Dmitry Децина/M	Как бы им сообщить, что через Т правильно
2023-04-18T14:51:29	Шмелёв Данил	Хуита?
2023-04-18T14:51:37	Шмелёв Данил	И смайл перевернутый
2023-04-18T14:53:07	Сорокин Андрей	Это то ли корейский то ли японский бренд а может США, где то их видел много
2023-04-18T17:57:36	Сорокин Андрей	Появился дом счастья
2023-04-18T17:57:38	Сорокин Андрей	
2023-04-19T11:09:52	Alexander	Лех, в Битриксе могёшь? Тыж где то в этом работал?
2023-04-19T11:10:04	Леха Писаренко	Не, битрикс не знаю
2023-04-19T14:14:20	Dmitry Децина/M	
2023-04-19T14:15:12	Сорокин Андрей	
2023-04-19T14:16:33	Леха Писаренко	Андрюх, где работаешь то?
2023-04-19T14:17:27	Сорокин Андрей	В mindray, делают оборудование для больниц
2023-04-19T14:17:44	Сорокин Андрей	
2023-04-19T14:17:45	Сорокин Андрей	И вот с этим парнем
2023-04-19T14:18:04	Леха Писаренко	Опять по командировкам мотаешься?
2023-04-19T14:18:16	Леха Писаренко	Это че за чёрный властелин?)
2023-04-19T14:19:03	Сорокин Андрей	Не так часто сейчас, пару раз в месяц
2023-04-19T14:19:19	Сорокин Андрей	Властелин чёрных пакетов
2023-04-19T14:19:23	Леха Писаренко	Хера себе не часто)
2023-04-19T14:19:40	Сорокин Андрей	А где часто?
2023-04-19T14:19:59	Леха Писаренко	Ну 2 раза в месяц это часто же
2023-04-19T14:20:26	Сорокин Андрей	Не, не часто, каждую неделю или пару раз в неделю это часто))
